たかむろ水光園,〒028-0553,岩手県遠野市土淵町柏崎7-175-2,39.3540477,141.59653,遠野市
常堅寺,〒028-0555,岩手県遠野市土淵町土淵7-50,39.3544857,141.570985,遠野市
伝承園,〒028-0555,岩手県遠野市土淵町土淵6-5-1,39.3573103,141.5695516,遠野市
遠野郷八幡宮,〒028-0541,岩手県遠野市松崎町白岩23-19,39.3428058,141.5452319,遠野市
花巻新渡戸記念館,〒025-0014,岩手県花巻市高松9-21,39.38994330000001,141.1610385,花巻市
夏虫のお湯っこ,〒022-0101,岩手県大船渡市三陸町越喜来字小出59-1,39.1365411,141.7789746,大船渡市
遊・YOU・亭 夏虫,〒022-0101,岩手県大船渡市三陸町越喜来字小出59-1,39.1365411,141.7789746,大船渡市
夏油高原スキー場,〒024-0322,岩手県北上市和賀町岩崎新田,39.2665053,141.0034004,北上市
夏油高原温泉,〒024-0322,岩手県北上市和賀町岩崎新田,39.2665053,141.0034004,北上市
岩手県立博物館,〒020-0102,岩手県盛岡市上田松屋敷34,39.7554666,141.1538878,盛岡市
四十四田公園,〒020-0102,岩手県盛岡市上田字松屋敷34,39.7554666,141.1538878,盛岡市
焼石岳,〒023-0403,岩手県奥州市胆沢区若柳,39.12598699999999,140.9868997,奥州市
たねいち産直ふれあい広場,〒028-7912,岩手県九戸郡洋野町種市32-95-1,40.4193819,141.6990529,種市
湯ったり館,〒028-2101,岩手県宮古市茂市8-53,39.6162526,141.7937361,宮古市
閉伊川,〒028-2101,岩手県宮古市,39.6414202,141.9571395,宮古市
閉伊川オートキャンプ場,〒028-2101,岩手県宮古市茂市8-53,39.6162526,141.7937361,宮古市
横山八幡宮,〒027-0052,岩手県宮古市宮町2-5-1,39.63813409999999,141.9437019,宮古市
めがね橋,〒028-0304,岩手県遠野市宮守町下宮守,39.3466107,141.3527126,遠野市
めがねばし直売所,〒028-0304,岩手県遠野市宮守町下宮守30-37-1 道の駅みやもり施設内,39.3460524,141.3513044,遠野市
岩手県立美術館,〒020-0866,岩手県盛岡市本宮字松幅12-3,39.6931837,141.1245868,盛岡市
