龍泉洞青少年旅行村,369262441,39.8627,141.791931,日本, 〒027-0501 岩手県下閉伊郡岩泉町岩泉神成１２,
ふれあいらんど岩泉,5379449,39.840328242,141.866789803,日本, 〒027-0502 岩手県下閉伊郡岩泉町乙茂大向４８,
薄衣の滝,40121335,39.417264683,141.00808382,日本, 〒025-0244 岩手県花巻市湯口天王２７−１,花巻市
瀬峯坂温泉宝珠の湯,14284087,39.242813592,141.00139192,日本, 〒024-0321 岩手県北上市和賀町岩崎２地割３,北上市
千貫石温泉  湯元  東館,44572221,39.227286414,141.011760896,日本, 〒029-4503 岩手県胆沢郡金ケ崎町西根二枚橋５,
北上市立 鬼の館,12467550,39.27557867,141.045409441,日本, 〒024-0321 岩手県北上市和賀町岩崎１６地割１３１,北上市
北上カントリークラブ,138620619,39.267614,140.983242,日本, 〒024-0323 岩手県北上市和賀町煤孫１地割３２３,北上市
入畑ダム展望広場,14569564,39.23774736,140.949770788,日本, 岩手県北上市 県道122号線,北上市
北上カントリークラブ,42883463,39.267781557,140.981635245,日本, 〒024-0323 岩手県北上市和賀町煤孫１地割 県道37号線,北上市
御所ダム,16580685,39.693240186,141.026574729,日本, 〒020-0055 岩手県盛岡市繋山根１９２−４,盛岡市
八幡平カントリークラブ,27961698,39.639060199,140.937683501,日本, 〒020-0573 岩手県岩手郡雫石町南畑第３２地割８５,
雫石町総合運動公園,9514763,39.699089673,140.963757834,日本, 〒020-0543 岩手県岩手郡雫石町高前田１１１−３８,
盛岡市,6190871,39.701969994,141.154425144,日本, 〒020-0023 岩手県盛岡市内丸 奥州街道(陸羽街道),盛岡市
岩手県公会堂,2564445,39.703207517,141.153452983,日本, 〒020-0023 岩手県盛岡市内丸１１−２,盛岡市
もりおか歴史文化館,3608599,39.700846075,141.153332487,日本, 岩手県盛岡市 奥州街道(陸羽街道),盛岡市
中ノ橋 (Nakanohashi Bridge),208816,39.700731804,141.1543715,日本, 岩手県盛岡市 奥州街道(陸羽街道),盛岡市
FM岩手,37378024,39.701243591,141.153888702,日本, 〒020-0023 岩手県盛岡市内丸２−５,盛岡市
岩手銀行 中ノ橋支店,27306467,39.700847369,141.155337095,日本, 〒020-0871 岩手県盛岡市中ノ橋通１丁目２−１６,盛岡市
彩四季,197593534,39.701052,141.155618,日本, 〒020-0885 岩手県盛岡市紺屋町１−３８,盛岡市
安比高原スキー場,742323,40.00497678,140.980022798,日本, 〒028-7306 岩手県八幡平市安比高原６０５−１２８,八幡平市
長者屋敷清水,540757267,39.9722895,141.031014948,日本, 〒028-7305 岩手県八幡平市松尾第４地割１１１,八幡平市
三ツ石山,40038293,39.926319554,141.09531666,日本, 〒028-7111 岩手県八幡平市大更第３５地割６２,八幡平市
